Radius_mm,Speed_mms,Reynolds,Ext_O2,Ext_NO3,N2O_Internal,N2O_Plume,N2O_Total_Efflux
1.0,6.0,1,2.0,5.0,0.08448081,0.09075774,0.17523855
1.0,6.0,1,2.0,10.0,0.08746702,0.09323152,0.18069854
1.0,6.0,1,2.0,15.0,0.08826882,0.09395662,0.18222544
1.0,6.0,1,6.0,5.0,0.049693655,0.0014083609,0.051102016
1.0,6.0,1,6.0,10.0,0.051145162,0.0014494509,0.052594613
1.0,6.0,1,6.0,15.0,0.05164351,0.00146427,0.05310778
1.0,6.0,1,10.0,5.0,0.0004785139,0.00032356492,0.0008020788
1.0,6.0,1,10.0,10.0,0.00047852757,0.00032356736,0.00080209493
1.0,6.0,1,10.0,15.0,0.00047853275,0.0003235683,0.00080210104
2.0,6.0,1,2.0,5.0,0.22008201,0.758559,0.97864103
2.0,6.0,1,2.0,10.0,0.30536526,0.8459758,1.1513411
2.0,6.0,1,2.0,15.0,0.32243463,0.85510325,1.1775379
2.0,6.0,1,6.0,5.0,0.4847924,0.57299215,1.0577846
2.0,6.0,1,6.0,10.0,0.5669205188751221,0.5969939231872559,1.163914442062378
2.0,6.0,1,6.0,15.0,0.5794708728790283,0.6000323295593262,1.1795032024383545
2.0,6.0,1,10.0,5.0,0.5944563150405884,0.2343218922615051,0.8287782073020935
2.0,6.0,1,10.0,10.0,0.6363524794578552,0.2397529482841491,0.8761054277420044
2.0,6.0,1,10.0,15.0,0.6424278020858765,0.2410022616386413,0.8834300637245178
3.0,6.0,1,2.0,5.0,0.1805381923913955,1.8424713611602783,2.0230095386505127
3.0,6.0,1,2.0,10.0,0.3020884096622467,2.269953727722168,2.572042226791382
3.0,6.0,1,2.0,15.0,0.4033620357513428,2.3912384510040283,2.794600486755371
3.0,6.0,1,6.0,5.0,0.53827965259552,1.884698510169983,2.422978162765503
3.0,6.0,1,6.0,10.0,0.8353450894355774,2.225637912750244,3.0609829425811768
3.0,6.0,1,6.0,15.0,0.9878325462341307,2.26884388923645,3.256676435470581
3.0,6.0,1,10.0,5.0,0.8810444474220276,1.616020679473877,2.49706506729126
3.0,6.0,1,10.0,10.0,1.2466206550598145,1.7884244918823242,3.0350451469421387
3.0,6.0,1,10.0,15.0,1.3793245553970337,1.805972695350647,3.1852972507476807 \\
