Radius_mm,Speed_mms,Ext_O2,Ext_NO3,N2O_Flux_Total_mmol_s,N2O_Flux_Internal,N2O_Flux_Plume,N2O_Yield_per_C,Frac_Oxic,Frac_Den1,Frac_Den2,Frac_Den3,Plume_N2O_Ammox,Plume_N2O_Denit,O2_Flux_In_mmol_s,NO3_Flux_In_mmol_s,DOC_Flux_Out_mmol_s,Tau_o2,Tau_no3,Tau_n2o,Tau_n2,Tau_nh4
1.0,1.56,2.0,5.0,6.672162377094159e-12,-2.234670211006257e-12,8.906833093331564e-12,0.0021360878058010397,0.3275201225000271,0.3816326618929833,0.19651431676674963,0.09433294299903389,2.5545595232322327e-13,8.651376098969097e-12,3.0356742841102593e-12,5.5965181881402824e-11,3.0202545405293105e-09,0.32025234809567665,0.45438672639806793,0.5824968093392252,137.4313921082834,165.74278894181018
1.0,1.56,2.0,10.0,6.969480803518586e-12,-4.151969876524807e-12,1.1121451185274542e-11,0.0022312740781413975,0.2108643380284947,0.41223757808320305,0.2534465562248763,0.12345147479078118,2.6174276454591687e-13,1.0859707094496859e-11,4.160238489505473e-12,1.9979655982630066e-10,2.8426375149619565e-09,0.3893945127513153,0.9592755845771708,0.8906651529975514,106.5303937538737,117.01324995420835
1.0,1.56,2.0,15.0,7.298820274920505e-12,-5.198831046933618e-12,1.2497651321854123e-11,0.002336711864134997,0.15112277944605806,0.40569893369974147,0.2973248862156357,0.14585345840005748,2.664961370782192e-13,1.223115502689117e-11,4.9248487420394336e-12,3.6072857325853605e-10,2.6026504235288866e-09,0.44840200481877085,1.7441438501978748,1.3610773862648213,81.10525289242449,94.92270498743443
1.0,1.56,6.0,5.0,5.024324208150656e-12,-3.4014947284553796e-12,8.42581969445276e-12,0.0016085336457437544,0.5570109050090613,0.23978846280996705,0.13714302700030356,0.06605754882985662,1.6036713987266802e-13,8.265452254599096e-12,4.002271402839586e-11,1.3026580842881673e-10,2.9292733559645856e-09,0.4339938679550155,0.8172841697265156,0.8855140258690761,103.85156472702486,126.40770406836218
1.0,1.56,6.0,10.0,6.151872813941616e-12,-2.497003906534547e-12,8.648876215245014e-12,0.0019695174904335467,0.39687288850612135,0.2965485467920797,0.20610396464468386,0.100474654759029,1.621431063029392e-13,8.486733393134596e-12,4.678214902366515e-11,2.964499785400443e-10,2.7169403703466877e-09,0.5308712938386144,1.624688186548594,1.1884511036972498,85.45422496189124,100.60922225048583
1.0,1.56,6.0,15.0,6.751786806139308e-12,-1.9264187088303714e-12,8.678205893893041e-12,0.0021615795073386284,0.2972701429477942,0.3101871786422398,0.26325057574508276,0.12929202548036042,1.6346150698563794e-13,8.514745428946648e-12,5.0466302644148005e-11,4.623250765274027e-10,2.451602703788873e-09,0.6042361714901172,2.603284863381542,1.3668686754411281,66.36864595930763,84.72187166394203
1.0,1.56,10.0,5.0,3.318814914038082e-12,-5.901485056310269e-13,3.908963545976896e-12,0.001062516118001744,0.6358923550704859,0.19093211360746942,0.1164235426575229,0.056751963516594874,1.228804253854851e-13,3.7860829942836235e-12,1.336469446155171e-10,1.8268996665325683e-10,2.810403088640172e-09,0.7207727551180386,1.6068847279906677,1.331208637392411,92.37367396155614,106.99923121007534
1.0,1.56,10.0,10.0,4.95793430904737e-12,2.6349869540344493e-13,4.69443605572118e-12,0.0015872789690905382,0.4727074917600312,0.24714253054915314,0.18801035500123664,0.09213967905437015,1.2370643094829346e-13,4.5707291984841045e-12,1.4009725090102847e-10,3.566067277892563e-10,2.572584950486895e-09,0.8581861832862534,2.702392314660375,1.6063540261682723,72.29149520542647,90.98743106290421
1.0,1.56,10.0,15.0,5.758017850998324e-12,1.0526808648575261e-12,4.7053369229869046e-12,0.001843425117968866,0.3611521420743061,0.2635163272823145,0.2514071708208616,0.12392431374619745,1.2391675709667642e-13,4.581420900054241e-12,1.433630003770496e-10,5.415407291128617e-10,2.27519739227392e-09,0.9517376768469362,3.794974358692742,1.8557011907064123,54.97536679633266,76.38826804513036
2.0,0.78,2.0,5.0,1.3753907562792621e-11,-2.9266419662405416e-15,1.3756833861606259e-11,0.0011008258105294837,0.22171915593736286,0.4410852750675999,0.2262928110947791,0.11090286305686468,1.4663888226375919e-12,1.2290446933585476e-11,2.819599015261283e-16,6.670615209326147e-15,1.2493968285741788e-08,0.0,0.0,0.0,0.0,0.0
