Radius_mm,Speed_mms,Ext_O2,Ext_NO3,N2O_Flux_Total_mmol_s,N2_Flux_Total_mmol_s,Frac_Anoxic_Core,N2O_Flux_Internal,N2O_Flux_Plume,N2O_Leakage_Out_mmol_s,N2O_Yield_per_C,Frac_Oxic_Core,Frac_Den1_Core,Frac_Den2_Core,Frac_Den3_Core,Frac_Oxic_Plume,Frac_Den1_Plume,Frac_Den2_Plume,Frac_Den3_Plume,Plume_N2O_Ammox,Plume_N2O_Denit,Internal_N2O_Ammox,Internal_N2O_Denit,O2_Flux_In_mmol_s,NO3_Flux_In_mmol_s,DOC_Flux_Out_mmol_s,Tau_o2,Tau_no3,Tau_n2o,Tau_n2,Tau_nh4
0.5,1.492264760192439,2.0,10.0,8.896337421447149e-12,1.4894448692805187e-10,1.0,1.4280204324303965e-12,7.468316736401179e-12,8.284412190226537e-13,0.0151655242631162,0.0820368917938938,0.384168309174853,0.3572326131439646,0.1765621992042025,0.6340294461166857,0.3135845471962274,0.042702594958164,0.0096833421288757,1.1393604995487457e-13,7.354381049581191e-12,3.997154390187961e-14,1.3880490700959608e-12,3.5796512054876646e-11,2.512874712401413e-10,4.773733337492883e-10,0.9202010417469988,4.226795170745037,1.644800510410611,14.315188411060555,21.39052662857879
0.5,1.492264760192439,6.0,10.0,4.4571481839305505e-12,1.0287911943976067e-10,0.8772048846675713,2.823881386548541e-12,1.6332666710742229e-12,1.584025075006698e-12,0.0070066479395704,0.2579164293050278,0.3948584854834699,0.2338227264316373,0.1134023133155446,0.922472135203366,0.0702670476720915,0.0065271723010527,0.0007335965336556,5.312290016587799e-14,1.5801437630141082e-12,4.5667468560502363e-14,2.778213543011795e-12,1.3095082102955643e-10,2.859683318723181e-10,4.2527952394285414e-10,1.822632732013652,7.3248696054129585,2.355347090900591,11.860185718531715,20.5428477993599
0.5,1.492264760192439,10.0,10.0,4.0734377572232836e-12,7.305344122652031e-11,0.7170963364993216,3.816533780850757e-12,2.569035342952716e-13,2.428184982375792e-12,0.0058036293644377,0.3781073756138344,0.4116812046649596,0.1427933672306875,0.0674180050212601,0.981867318645084,0.0174255663828312,0.0007070223490397,7.388597813253996e-08,3.9606084160997763e-14,2.1729745408139213e-13,4.531138717281943e-14,3.771222630505038e-12,2.2789504270883007e-10,3.5829240524508635e-10,3.5515243811586136e-10,2.9919327262754076,10.397822482641155,2.6975413492051032,8.870238080961117,17.433092841809184
0.75,1.8726516100702104,2.0,10.0,2.085684593210384e-11,3.3424583575714945e-10,1.0,-2.6907393376083032e-12,2.3547585269712143e-11,-3.0950132522966476e-12,0.0181935428806495,0.0344063880840683,0.2641070826343243,0.4658937125027271,0.2355928020903878,0.5218076594284881,0.3806738966672007,0.0752083119547391,0.0223101986187845,3.237849088398727e-13,2.3223801320022028e-11,4.471560616877453e-14,-2.735454757275736e-12,2.1464699631804353e-11,2.695397184824231e-10,1.2926417070062615e-09,0.5495411494285989,1.8273814890011624,1.301082908627461,28.49483214441783,40.35778270041645
0.75,1.8726516100702104,6.0,10.0,7.465410141602337e-12,3.5780436812277737e-10,0.9966078697421982,1.9975352347920216e-12,5.467874906810316e-12,7.191199030151656e-13,0.0056030560454741,0.1217711111313326,0.244427248908524,0.4233963248929323,0.2104053556908521,0.849846553120894,0.126287912785537,0.0183199851320466,0.0055455283177038,1.5029745284190846e-13,5.317577418444343e-12,6.447107165824512e-14,1.9330647403998353e-12,1.1108739165386724e-10,3.4406207279270787e-10,1.0854017545065903e-09,0.9337308366496814,3.1045766670712487,1.82038378597458,17.885337759541347,32.72422141711842
0.75,1.8726516100702104,10.0,10.0,5.654987831139973e-12,3.269175064465231e-10,0.9280868385345996,3.3421515092225266e-12,2.312835753532405e-12,1.4724766211530926e-12,0.0040126852416853,0.2037191586130611,0.2810910495689632,0.3447195113147778,0.1704702102811942,0.9404122146838708,0.0516731672145808,0.0063211186667232,0.0015935239325252,1.0702233863384648e-13,2.2058133971365255e-12,7.322317111268592e-14,3.2689284535630524e-12,2.1701024583548552e-10,4.4682230528039054e-10,9.79957871579548e-10,1.5256223632369863,5.192641391499163,2.357614154260758,13.950367456855163,31.67037642665741
1.0,2.2,2.0,10.0,3.4564762556040085e-11,4.52621987018072e-10,1.0,-6.5699773563321156e-12,4.113473991237219e-11,-6.753201769125314e-12,0.0195047442784088,0.0180592895084895,0.224627431736881,0.50024698088464,0.2570662210548122,0.4535044875262699,0.4137000564067007,0.0975365486852159,0.0352588382441663,6.923541145623806e-13,4.044238731350327e-11,3.8355475235955416e-14,-6.608332484221657e-12,9.897883399661052e-12,2.1261932638192187e-10,2.696023121757209e-09,0.3818660410125118,0.8413330213699719,1.1688049343034246,58.93509908644065,83.69069558359453
1.0,2.2,6.0,10.0,1.2446302659280678e-11,4.2027704037203334e-10,1.0,-1.852399314149606e-12,1.4298702352353646e-11,-2.729627736975365e-12,0.006388525658278,0.0786787980495622,0.2292317359503731,0.46052092322551,0.231568450943727,0.7939796795482024,0.1676211083262037,0.0288477349363956,0.0095515540712199,3.2657285720823585e-13,1.3972129021491208e-11,7.02218405395576e-14,-1.922620759977328e-12,6.767044584739511e-11,3.2723276664150247e-10,2.463331956129808e-09,0.533347843358859,1.3600770898121608,1.3142044189003264,39.44757399668336,65.66341547353132
1.0,2.2,10.0,10.0,5.615061181762205e-12,5.468448639724384e-10,0.9986431478968794,1.4759024514765986e-12,4.139158730285607e-12,-2.372173920453771e-13,0.0025442182188247,0.123228172506464,0.2253925462393425,0.4346637632375785,0.2167155659863871,0.90595387011724,0.0786254749812733,0.0112594627520264,0.0041611760954879,2.2906109826447093e-13,3.910097032059147e-12,8.85114765288492e-14,1.3873917643714192e-12,1.6487886299898024e-10,4.795840635823104e-10,2.1124440892618278e-09,0.8154836053935622,2.468219188371062,1.8354259028055315,24.122317869004423,49.266322831382894
1.5,2.76079262343713,2.0,10.0,4.036410023130887e-11,9.407987794676026e-10,1.0,-1.2939491528882694e-12,4.1658049242100895e-11,-1.373675403771928e-12,0.0094609197557003,0.0041278926339566,0.1294869528631564,0.5763075257470555,0.2900777320857307,0.3957540282582346,0.436657631147152,0.1147212302480864,0.052867142488546,2.0297504464153718e-12,3.9628296237952825e-11,1.3768868991549766e-14,-1.3077175700581157e-12,1.5271988857800386e-12,8.790454815999762e-11,6.722684109658097e-09,0.2314984662673726,0.5743939893501405,3.2948802531771437,174.3416333628752,278.90264583377984
1.5,2.76079262343713,6.0,10.0,4.1766242471684025e-11,5.643175880543682e-10,1.0,-1.2788948782370943e-11,5.4555192390825055e-11,-1.2968208934479432e-11,0.0098259964200048,0.0216962404094763,0.1773451540142557,0.526744869790855,0.2742137656853209,0.7434101480878437,0.1983330432320332,0.0431440342780774,0.0151127523900877,1.0820392232674818e-12,5.347315096506554e-11,5.858181220895536e-14,-1.2847532228686897e-11,1.434895769472116e-11,2.0882611962844063e-10,6.495703462575244e-09,0.3003835273456241,1.089363340309877,0.7545150948178277,105.32822768568518,192.6046461407266
1.5,2.76079262343713,10.0,10.0,1.3739419301755096e-11,5.641024202127327e-10,1.0,-1.8261769207434823e-11,3.200118737241984e-11,-1.912906538583788e-11,0.0032517789484903,0.0550593336635725,0.2161766173116542,0.4792260849321638,0.2495378546935689,0.8798913090079075,0.0974348913004333,0.0178803879254905,0.0047933752573436,6.667119601844453e-13,3.133447626481296e-11,1.068985727908728e-13,-1.836866765589147e-11,5.873193577149834e-11,3.9272754569759964e-10,6.196688623543537e-09,0.4405459227590089,1.7777829236470124,1.1558758352447054,72.18549355873071,145.20305138977247
