Initial_POC_Density,Ext_O2,Radius_mm,Ext_NO3,Anoxia_Duration_hr,Resp_Rate_nmol_C_mm3_hr,N2O_Net_Domain_SMS_mmol,N2O_Net_Core_SMS_mmol,N2O_Yield_molN2O_per_molC,N2_Net_Domain_SMS_mmol,C_Consumed_Core_mmol,Frac_Oxic_Core,Frac_Den1_Core,Frac_Den2_Core,Frac_Den3_Core,Oxic_C_Core_mmol,Den1_C_Core_mmol,Den2_C_Core_mmol,Den3_C_Core_mmol,Frac_Oxic_Domain,Frac_Den1_Domain,Frac_Den2_Domain,Frac_Den3_Domain,Oxic_C_Domain_mmol,Den1_C_Domain_mmol,Den2_C_Domain_mmol,Den3_C_Domain_mmol,C_Consumed_Domain_mmol,O2_Consumed_Core_mmol,NO3_Consumed_Core_mmol,DOC_Leakage_Core_mmol
50000.0,1.0,1.0,10.0,3.1959657669067383,0.05345603823661804,4.183722210197503e-08,2.5749119689883357e-08,0.030090563321750568,9.946631726787688e-10,5.288725577873142e-07,0.511190974719644,0.44503708246497237,0.043758836324478016,1.3106490905640304e-05,2.703548934681718e-07,2.3536791330322368e-07,2.3142848989623998e-08,6.931663757325293e-12,0.6038913742202066,0.36906127922883153,0.027040078226757434,7.2683242045094425e-06,8.396365656301332e-07,5.131342460370434e-07,3.759589784835359e-08,1.0105709459488545e-11,1.3903768319197115e-06,3.0500510357364886e-07,5.194599822316658e-07,0.00010146181464639262
50000.0,7.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,13.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,25.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237500.0,1.0,1.0,10.0,17.077228546142578,0.23179875314235687,5.791941160695818e-07,-5.981146372645757e-07,0.017516308858000058,3.7088337429142253e-06,1.2254076853634738e-05,0.0475824042162241,0.6321132236616119,0.1989207520586241,0.12138362006353985,5.830784237120817e-07,7.74596383119506e-06,2.4375901231660896e-06,1.4874441722089902e-06,0.3385318799062745,0.49523597815740583,0.11606588200769934,0.050166259928620366,1.119389038374682e-05,1.6375465894427534e-05,3.837832823445702e-06,1.658796845836199e-06,3.306599128646056e-05,6.513709625126249e-07,1.7243580228395398e-05,0.0025763722728720517
237500.0,7.0,1.0,10.0,1.2313467264175415,0.291559636592865,3.7545165767665854e-08,2.7886301449504658e-08,0.012646515807124711,2.56044578938104e-10,1.1113731600933169e-06,0.7089132911448875,0.26851274495457095,0.022562445924774202,1.1517975767328743e-05,7.878672469213487e-07,2.9841787391092243e-07,2.507529817342719e-08,1.2800769813832472e-11,0.8476148878094969,0.14099941042901704,0.011376795471636857,8.906289849206439e-06,2.516411849346362e-06,4.1860117402064127e-07,3.377560180237346e-08,2.644112748913092e-11,2.9688149953929527e-06,8.796636925420827e-07,6.613763363196167e-07,0.00018489370934762078
237500.0,13.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237500.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237500.0,25.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
